,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,recipe
362,61,3013,Snack,Basic protein shake,https://www.eatthismuch.com/food/browse/?q=Basic%20protein%20shake,Basic protein shake,242.0,147.0,58.0,320.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/","https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/"
363,62,3003,Breakfast,Blueberry Banana Smoothie,https://www.eatthismuch.com/food/browse/?q=Blueberry%20Banana%20Smoothie,"Blueberry, Banana, and Strawberry Smoothie",373.0,773.0,53.0,111.0,113.0,"https://www.eatthismuch.com/recipe/nutrition/blueberry-banana-and-strawberry-smoothie,933725/","https://www.eatthismuch.com/recipe/nutrition/blueberry-banana-and-strawberry-smoothie,933725/"
364,62,3003,Lunch,Banana Avocado Protein Smoothie,https://www.eatthismuch.com/food/browse/?q=Banana%20Avocado%20Protein%20Smoothie,Banana Avocado Protein Smoothie,647.0,532.0,316.0,466.0,165.0,"https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/","https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/"
365,62,3003,Dinner,Prosciutto-Manchego Sandwich with Spinach,https://www.eatthismuch.com/food/browse/?q=Prosciutto-Manchego%20Sandwich%20with%20Spinach,Prosciutto-Manchego Sandwich with Spinach,373.0,284.0,170.0,260.0,24.0,,
366,62,3003,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/","https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
367,62,3003,Snack,Almonds,https://www.eatthismuch.com/food/browse/?q=Almonds,Almonds,164.0,61.0,142.0,60.0,35.0,"https://www.eatthismuch.com/recipe/nutrition/almonds,524950/","https://www.eatthismuch.com/recipe/nutrition/almonds,524950/"
368,63,2974,Breakfast,Turkey and Spinach Omelet,https://www.eatthismuch.com/food/browse/?q=Turkey%20and%20Spinach%20Omelet,Turkey and Spinach Omelet,362.0,88.0,220.0,317.0,10.0,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/","https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
369,63,2974,Lunch,Big PB&J Sandwich,https://www.eatthismuch.com/food/browse/?q=Big%20PB&J%20Sandwich,Big Bad Bean Burrito,244.0,309.0,119.0,76.0,113.0,"https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/","https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/"
370,63,2974,Lunch,Carrots with Hummus,https://www.eatthismuch.com/food/browse/?q=Carrots%20with%20Hummus,Carrots with Hummus,175.0,224.0,75.0,71.0,79.0,"https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/","https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/"
371,63,2974,Dinner,BBQ Chicken Sandwich,https://www.eatthismuch.com/food/browse/?q=BBQ%20Chicken%20Sandwich,BBQ Chicken Sandwich,470.0,402.0,149.0,418.0,49.0,"https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/","https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/"
372,63,2974,Snack,Basic protein shake,https://www.eatthismuch.com/food/browse/?q=Basic%20protein%20shake,Basic protein shake,242.0,147.0,58.0,320.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/","https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/"
373,63,2974,Snack,Grapes,https://www.eatthismuch.com/food/browse/?q=Grapes,Grapes,104.0,273.0,2.0,11.0,14.0,"https://www.eatthismuch.com/recipe/nutrition/grapes,474464/","https://www.eatthismuch.com/recipe/nutrition/grapes,474464/"
